TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,7,10,18,30,14XX E GEORGIA ST,Grandview-Woodland,494593.5122,5458418.136
Break and Enter Commercial,2023,8,12,0,48,14XX E HASTINGS ST,Grandview-Woodland,494563.7471,5458727.402
Break and Enter Commercial,2023,1,5,3,18,14XX E PENDER ST,Grandview-Woodland,494503.8539,5458628.014
Break and Enter Commercial,2023,12,6,6,30,14XX GRAVELEY ST,Grandview-Woodland,494567.6397,5457529.319
Break and Enter Commercial,2023,5,14,0,0,14XX POWELL ST,Grandview-Woodland,494604.3015,5458940.069
Break and Enter Commercial,2023,11,17,0,0,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.252
Break and Enter Commercial,2023,4,9,2,0,14XX WILLIAM ST,Grandview-Woodland,494540.2306,5457923.731
Break and Enter Commercial,2023,4,24,5,24,15XX E 1ST AVE,Grandview-Woodland,494756.9833,5457434.523
Break and Enter Commercial,2023,6,1,4,24,15XX E BROADWAY AVE,Grandview-Woodland,494708.6916,5456627.951
Break and Enter Commercial,2023,5,23,17,0,15XX E PENDER ST,Grandview-Woodland,494612.4144,5458626.112
Break and Enter Commercial,2023,7,22,0,24,15XX VENABLES ST,Grandview-Woodland,494709.1497,5458213.987
Break and Enter Commercial,2023,5,19,16,0,16XX ADANAC ST,Grandview-Woodland,494840.3161,5458311.394
Break and Enter Commercial,2023,7,7,21,41,16XX ADANAC ST,Grandview-Woodland,494840.3161,5458311.394
Break and Enter Commercial,2023,5,15,4,1,16XX CYPRESS ST,Kitsilano,489248.3368,5457597.783
Break and Enter Commercial,2023,2,2,9,23,16XX E 3RD AVE,Grandview-Woodland,494851.6711,5457233.681
Break and Enter Commercial,2023,8,20,0,0,16XX E 3RD AVE,Grandview-Woodland,494851.6711,5457233.681
Break and Enter Commercial,2023,9,20,6,31,16XX E 3RD AVE,Grandview-Woodland,494862.5384,5457224.385
Break and Enter Commercial,2023,12,6,0,30,16XX E 3RD AVE,Grandview-Woodland,494862.5384,5457224.385
Break and Enter Commercial,2023,7,14,20,27,16XX E 4TH AVE,Grandview-Woodland,494902.5095,5457130.726
Break and Enter Commercial,2023,4,22,4,59,16XX E BROADWAY AVE,Grandview-Woodland,494894.9357,5456625.373
Break and Enter Commercial,2023,11,11,14,21,16XX E HASTINGS ST,Grandview-Woodland,494731.9919,5458733.173
Break and Enter Commercial,2023,8,4,0,0,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.055
Break and Enter Commercial,2023,8,11,19,30,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.055
Break and Enter Commercial,2023,7,12,18,0,16XX FRANKLIN ST,Grandview-Woodland,494759.8258,5458825.671
Break and Enter Commercial,2023,10,20,0,0,16XX KITCHENER ST,Grandview-Woodland,494910.2178,5457715.937
Break and Enter Commercial,2023,10,19,21,0,16XX KITCHENER ST,Grandview-Woodland,494913.0052,5457715.915
Break and Enter Commercial,2023,3,1,4,55,16XX NANAIMO ST,Grandview-Woodland,495877.729,5457435.739
Break and Enter Commercial,2023,4,29,14,0,16XX PANDORA ST,Grandview-Woodland,494743.5547,5458925.152
Break and Enter Commercial,2023,8,10,0,55,16XX PANDORA ST,Grandview-Woodland,494781.6905,5458924.682
Break and Enter Commercial,2023,8,9,4,53,16XX VENABLES ST,Grandview-Woodland,494852.0897,5458211.211
Break and Enter Commercial,2023,6,11,3,0,16XX VENABLES ST,Grandview-Woodland,494868.1821,5458220.071
Break and Enter Commercial,2023,6,7,0,0,16XX WHYTE AVE,Kitsilano,489572.0476,5458074.011
Break and Enter Commercial,2023,2,18,21,49,16XX WHYTE AVE,Kitsilano,489688.2058,5458137.912
Break and Enter Commercial,2023,1,16,4,0,16XX WILLIAM ST,Grandview-Woodland,494816.207,5457917.092
Break and Enter Commercial,2023,4,11,2,50,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.288
Break and Enter Commercial,2023,5,3,4,35,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.288
Break and Enter Commercial,2023,5,13,22,3,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.288
Break and Enter Commercial,2023,1,5,4,29,17XX E PENDER ST,Grandview-Woodland,494917.7907,5458620.703
Break and Enter Commercial,2023,2,27,0,0,17XX FRANCES ST,Grandview-Woodland,494936.6472,5458510.321
Break and Enter Commercial,2023,6,13,4,5,17XX FRANKLIN ST,Grandview-Woodland,494947.7373,5458831.505
Break and Enter Commercial,2023,6,23,1,0,17XX HIGHBURY ST,West Point Grey,486352.6467,5457572.212
Break and Enter Commercial,2023,1,2,1,9,17XX POWELL ST,Grandview-Woodland,494934.1204,5459032.642
Break and Enter Commercial,2023,1,23,3,0,17XX TRAFALGAR ST,Kitsilano,488031.4796,5457578.121
Break and Enter Commercial,2023,4,2,5,58,18XX COMMERCIAL DR,Grandview-Woodland,494926.5782,5457283.388
Break and Enter Commercial,2023,2,1,6,24,18XX COMMERCIAL DR,Grandview-Woodland,494935.7545,5457291.095
Break and Enter Commercial,2023,2,26,0,7,18XX COMMERCIAL DR,Grandview-Woodland,494935.7545,5457291.095
Break and Enter Commercial,2023,3,12,4,0,18XX E 5TH AVE,Grandview-Woodland,495009.5223,5456998.654
Break and Enter Commercial,2023,10,12,14,59,18XX E GEORGIA ST,Grandview-Woodland,495180.2082,5458413.985
Break and Enter Commercial,2023,7,21,6,55,18XX E PENDER ST,Grandview-Woodland,495189.5786,5458607.789
Break and Enter Commercial,2023,12,19,1,49,18XX FRANCES ST,Grandview-Woodland,495142.7393,5458505.905
Break and Enter Commercial,2023,7,20,2,0,18XX GREER AVE,Kitsilano,489274.0106,5457869.105
Break and Enter Commercial,2023,1,6,6,48,18XX LARCH ST,Kitsilano,488195.7083,5457482.19
Break and Enter Commercial,2023,3,30,21,0,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.372
Break and Enter Commercial,2023,10,6,6,0,18XX VENABLES ST,Grandview-Woodland,495215.3936,5458216.692
Break and Enter Commercial,2023,4,19,17,0,18XX W 2ND AVE,Kitsilano,489265.1068,5457466.102
Break and Enter Commercial,2023,7,12,20,54,18XX W 4TH AVE,Kitsilano,489295.1674,5457258.082
Break and Enter Commercial,2023,3,19,9,30,18XX W 4TH AVE,Kitsilano,489336.8031,5457256.929
Break and Enter Commercial,2023,6,5,13,41,18XX W 57TH AVE,Kerrisdale,489115.2702,5451860.498
Break and Enter Commercial,2023,9,24,5,34,18XX W 57TH AVE,Kerrisdale,489115.2702,5451860.498
Break and Enter Commercial,2023,6,18,8,36,18XX W 6TH AVE,Kitsilano,489271.1785,5457069.163
Break and Enter Commercial,2023,5,30,0,0,18XX W 7TH AVE,Kitsilano,489258.9648,5456985.305
Break and Enter Commercial,2023,4,9,3,53,18XX YEW ST,Kitsilano,488712.4688,5457404.502
Break and Enter Commercial,2023,4,10,1,58,18XX YEW ST,Kitsilano,488712.4688,5457404.502
Break and Enter Commercial,2023,11,1,2,9,18XX YORK AVE,Kitsilano,489344.7797,5457649.358
Break and Enter Commercial,2023,5,31,5,15,19XX CORNWALL AVE,Kitsilano,489154.0438,5457763.856
Break and Enter Commercial,2023,1,8,18,47,19XX E 8TH AVE,Grandview-Woodland,495226.5229,5456716.962
Break and Enter Commercial,2023,4,4,21,19,19XX E 8TH AVE,Grandview-Woodland,495226.5229,5456716.962
Break and Enter Commercial,2023,4,30,20,0,19XX E HASTINGS ST,Grandview-Woodland,495235.1454,5458724.094
Break and Enter Commercial,2023,2,21,4,30,19XX FERNDALE ST,Grandview-Woodland,495246.8596,5458543.743
Break and Enter Commercial,2023,1,15,5,6,19XX PANDORA ST,Grandview-Woodland,495336.8399,5458927.616
Break and Enter Commercial,2023,1,30,2,0,19XX PANDORA ST,Grandview-Woodland,495336.8399,5458927.616
Break and Enter Commercial,2023,1,22,0,0,19XX W 2ND AVE,Kitsilano,489136.0461,5457469.554
Break and Enter Commercial,2023,6,1,18,0,19XX W 4TH AVE,Kitsilano,489077.912,5457263.71
Break and Enter Commercial,2023,1,6,7,9,19XX W 4TH AVE,Kitsilano,489101.4676,5457263.112
Break and Enter Commercial,2023,7,15,3,30,19XX W 4TH AVE,Kitsilano,489151.9557,5457261.842
Break and Enter Commercial,2023,2,20,7,25,19XX W 4TH AVE,Kitsilano,489222.633,5457260.056
Break and Enter Commercial,2023,5,24,3,16,19XX W BROADWAY AVE,Kitsilano,489162.8585,5456783.037
Break and Enter Commercial,2023,4,3,6,34,19XX W BROADWAY AVE,Kitsilano,489206.8267,5456790.978
Break and Enter Commercial,2023,9,10,7,18,20XX COMMERCIAL DR,Grandview-Woodland,494924.6771,5457124.556
Break and Enter Commercial,2023,3,25,2,40,20XX COMMERCIAL DR,Grandview-Woodland,494933.2388,5457091.15
Break and Enter Commercial,2023,2,21,10,20,20XX DUNBAR ST,Kitsilano,486634.8445,5457286.474
Break and Enter Commercial,2023,1,1,0,50,20XX E HASTINGS ST,Grandview-Woodland,495384.3286,5458721.533
Break and Enter Commercial,2023,7,13,3,26,20XX E HASTINGS ST,Grandview-Woodland,495500.9849,5458710.909
Break and Enter Commercial,2023,2,3,4,30,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.424
Break and Enter Commercial,2023,7,4,19,31,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.311
Break and Enter Commercial,2023,9,7,22,31,20XX TRIUMPH ST,Grandview-Woodland,495424.2821,5459025.349
Break and Enter Commercial,2023,9,29,12,52,20XX TRIUMPH ST,Grandview-Woodland,495466.9511,5459025.136
Break and Enter Commercial,2023,3,13,1,18,20XX W 10TH AVE,Kitsilano,488985.9436,5456690.392
Break and Enter Commercial,2023,4,19,4,30,20XX W 10TH AVE,Kitsilano,488985.9436,5456690.392
Break and Enter Commercial,2023,4,6,2,30,20XX W 1ST AVE,Kitsilano,489018.7464,5457570.554
Break and Enter Commercial,2023,11,15,21,0,20XX W 41ST AVE,Kerrisdale,488739.5301,5453539.707
Break and Enter Commercial,2023,1,8,21,0,20XX W 42ND AVE,Kerrisdale,488732.6729,5453440.356
Break and Enter Commercial,2023,1,10,21,0,20XX W 8TH AVE,Kitsilano,488919.72,5456902.934
Break and Enter Commercial,2023,8,8,20,0,20XX W 8TH AVE,Kitsilano,488933.768,5456893.248
Break and Enter Commercial,2023,12,16,1,30,21XX COMMERCIAL DR,Grandview-Woodland,494922.2388,5456966.512
Break and Enter Commercial,2023,6,14,9,25,21XX COMMERCIAL DR,Grandview-Woodland,494931.7377,5456987.514
Break and Enter Commercial,2023,3,11,6,47,21XX E HASTINGS ST,Grandview-Woodland,495523.0169,5458719.874
Break and Enter Commercial,2023,4,26,5,40,21XX E HASTINGS ST,Grandview-Woodland,495568.6492,5458719.768
Break and Enter Commercial,2023,2,16,23,51,21XX E HASTINGS ST,Grandview-Woodland,495605.2391,5458710.538
Break and Enter Commercial,2023,4,14,4,0,21XX W 12TH AVE,Kitsilano,488842.0852,5456478.139
Break and Enter Commercial,2023,6,4,23,0,21XX W 2ND AVE,Kitsilano,488730.7997,5457480.099
Break and Enter Commercial,2023,2,6,1,0,21XX W 41ST AVE,Kerrisdale,488561.3505,5453543.993
Break and Enter Commercial,2023,10,15,7,0,21XX W 41ST AVE,Kerrisdale,488664.4676,5453541.235
Break and Enter Commercial,2023,3,5,7,3,21XX W 41ST AVE,Kerrisdale,488667.4782,5453541.154
Break and Enter Commercial,2023,1,26,5,56,21XX W 44TH AVE,Kerrisdale,488616.2407,5453236.397
Break and Enter Commercial,2023,7,30,2,56,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2023,1,16,5,26,22XX ALMA ST,Kitsilano,486489.6721,5457124.258
Break and Enter Commercial,2023,5,26,0,10,22XX CAMBRIDGE ST,Grandview-Woodland,495737.3128,5459323.918
Break and Enter Commercial,2023,2,8,5,8,22XX CLARK DR,Grandview-Woodland,494370.7415,5456923.403
Break and Enter Commercial,2023,4,22,5,6,22XX COMMERCIAL DR,Grandview-Woodland,494920.9171,5456878.767
Break and Enter Commercial,2023,10,6,5,30,22XX COMMERCIAL DR,Grandview-Woodland,494930.0076,5456874.761
Break and Enter Commercial,2023,12,6,6,17,22XX E 1ST AVE,Grandview-Woodland,495667.6421,5457422.621
Break and Enter Commercial,2023,4,27,5,40,22XX E BROADWAY AVE,Grandview-Woodland,495674.5792,5456615.668
Break and Enter Commercial,2023,7,16,23,28,22XX E BROADWAY AVE,Grandview-Woodland,495674.5792,5456615.668
Break and Enter Commercial,2023,1,30,5,56,22XX E HASTINGS ST,Grandview-Woodland,495662.9566,5458719.542
Break and Enter Commercial,2023,3,17,5,24,22XX E HASTINGS ST,Grandview-Woodland,495689.8189,5458719.459
Break and Enter Commercial,2023,2,9,0,0,22XX E HASTINGS ST,Grandview-Woodland,495716.6564,5458710.233
Break and Enter Commercial,2023,2,2,2,56,22XX E HASTINGS ST,Grandview-Woodland,495751.574,5458710.125
Break and Enter Commercial,2023,4,16,17,29,22XX W 1ST AVE,Kitsilano,488626.9124,5457581.115
Break and Enter Commercial,2023,5,19,23,5,22XX W 43RD AVE,Kerrisdale,488403.0796,5453340.274
Break and Enter Commercial,2023,2,12,2,39,22XX W 4TH AVE,Kitsilano,488570.1851,5457285.329
Break and Enter Commercial,2023,6,4,5,20,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97
Break and Enter Commercial,2023,6,14,6,0,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97
Break and Enter Commercial,2023,5,7,23,0,22XX W 5TH AVE,Kitsilano,488688.7696,5457186.669
Break and Enter Commercial,2023,1,8,1,11,23XX CASSIAR ST,Hastings-Sunrise,497738.9244,5456771.702
Break and Enter Commercial,2023,7,8,2,3,23XX OXFORD ST,Grandview-Woodland,495830.2328,5459222.822
Break and Enter Commercial,2023,11,12,10,28,23XX W 2ND AVE,Kitsilano,488436.632,5457487.714
Break and Enter Commercial,2023,1,27,21,0,23XX W 4TH AVE,Kitsilano,488418.8562,5457282.22
Break and Enter Commercial,2023,1,6,5,45,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.318
Break and Enter Commercial,2023,5,24,14,55,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.318
Break and Enter Commercial,2023,2,7,0,46,24XX BURRARD ST,Kitsilano,489392.374,5456883.881
Break and Enter Commercial,2023,11,20,14,50,24XX CORNWALL AVE,Kitsilano,488341.2922,5457784.479
Break and Enter Commercial,2023,6,14,18,30,24XX E 1ST AVE,Hastings-Sunrise,495975.3076,5457402.604
Break and Enter Commercial,2023,1,3,5,30,24XX E HASTINGS ST,Hastings-Sunrise,495900.0293,5458709.672
Break and Enter Commercial,2023,3,13,22,47,24XX E HASTINGS ST,Hastings-Sunrise,495919.1952,5458709.625
Break and Enter Commercial,2023,4,6,7,2,24XX E HASTINGS ST,Hastings-Sunrise,495984.9296,5458718.608
Break and Enter Commercial,2023,2,6,4,30,24XX E HASTINGS ST,Hastings-Sunrise,496001.3575,5458718.568
Break and Enter Commercial,2023,3,8,12,0,24XX GARDEN DR,Grandview-Woodland,495773.6168,5456661.254
Break and Enter Commercial,2023,9,25,4,0,24XX MAPLE ST,Kitsilano,489053.75,5456863.538
Break and Enter Commercial,2023,9,19,4,30,24XX MCGILL ST,Hastings-Sunrise,495928.6579,5459563.976
Break and Enter Commercial,2023,12,23,5,20,24XX NANAIMO ST,Grandview-Woodland,495878.527,5456634.531
Break and Enter Commercial,2023,6,30,6,6,24XX POINT GREY RD,Kitsilano,488367.1641,5457876.404
Break and Enter Commercial,2023,9,14,7,54,24XX STEPHENS ST,Kitsilano,487892.0959,5456833.49
Break and Enter Commercial,2023,7,30,0,0,24XX YORK AVE,Kitsilano,488335.3792,5457687.625
Break and Enter Commercial,2023,12,14,19,0,25XX E HASTINGS ST,Hastings-Sunrise,496097.7804,5458709.163
Break and Enter Commercial,2023,11,3,0,0,25XX E HASTINGS ST,Hastings-Sunrise,496188.7399,5458718.051
Break and Enter Commercial,2023,9,16,21,0,25XX E HASTINGS ST,Hastings-Sunrise,496195.9889,5458708.886
Break and Enter Commercial,2023,4,20,5,20,25XX MAPLE ST,Kitsilano,489040.9301,5456721.292
Break and Enter Commercial,2023,12,31,2,31,26XX ARBUTUS ST,Kitsilano,488873.8432,5456650.368
Break and Enter Commercial,2023,12,31,6,0,26XX ARBUTUS ST,Kitsilano,488873.8432,5456650.368
Break and Enter Commercial,2023,1,18,22,1,26XX E HASTINGS ST,Hastings-Sunrise,496258.7779,5458717.856
Break and Enter Commercial,2023,5,23,0,0,26XX E HASTINGS ST,Hastings-Sunrise,496273.4778,5458708.671
Break and Enter Commercial,2023,6,2,0,9,26XX E HASTINGS ST,Hastings-Sunrise,496278.8289,5458717.801
Break and Enter Commercial,2023,3,11,7,0,26XX E HASTINGS ST,Hastings-Sunrise,496285.853,5458708.637
Break and Enter Commercial,2023,7,18,5,0,26XX E HASTINGS ST,Hastings-Sunrise,496299.272,5458717.744
Break and Enter Commercial,2023,12,15,7,47,26XX E HASTINGS ST,Hastings-Sunrise,496347.1287,5458717.612
Break and Enter Commercial,2023,3,10,17,0,26XX E HASTINGS ST,Hastings-Sunrise,496365.5352,5458717.562
Break and Enter Commercial,2023,11,16,0,0,26XX E HASTINGS ST,Hastings-Sunrise,496402.3228,5458708.316
Break and Enter Commercial,2023,10,27,0,0,26XX W BROADWAY AVE,Kitsilano,487918.6483,5456818.093
Break and Enter Commercial,2023,4,3,3,15,27XX ARBUTUS ST,Kitsilano,488862.5918,5456569.8
Break and Enter Commercial,2023,1,26,1,12,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.906
Break and Enter Commercial,2023,2,6,0,16,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.906
Break and Enter Commercial,2023,3,31,23,0,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.906
Break and Enter Commercial,2023,12,24,2,0,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.906
Break and Enter Commercial,2023,12,25,11,50,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.906
Break and Enter Commercial,2023,3,15,19,30,27XX W 4TH AVE,Kitsilano,487867.1728,5457297.541
Break and Enter Commercial,2023,8,16,2,52,27XX W BROADWAY AVE,Kitsilano,487825.0891,5456820.255
Break and Enter Commercial,2023,9,11,5,0,28XX E 1ST AVE,Hastings-Sunrise,496590.7519,5457399.756
Break and Enter Commercial,2023,4,19,3,20,28XX E 1ST AVE,Hastings-Sunrise,496761.6929,5457429.512
Break and Enter Commercial,2023,4,21,20,5,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.635
Break and Enter Commercial,2023,4,24,6,30,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.635
Break and Enter Commercial,2023,12,5,11,30,28XX E HASTINGS ST,Hastings-Sunrise,496777.0097,5458716.784
Break and Enter Commercial,2023,2,23,15,40,28XX W 4TH AVE,Kitsilano,487638.6204,5457303.136
Break and Enter Commercial,2023,12,5,21,27,29XX E HASTINGS ST,Hastings-Sunrise,496808.7101,5458716.797
Break and Enter Commercial,2023,6,12,9,0,29XX E HASTINGS ST,Hastings-Sunrise,496808.7199,5458707.653
Break and Enter Commercial,2023,3,19,7,48,29XX GRAVELEY ST,Hastings-Sunrise,496821.239,5457513.087
Break and Enter Commercial,2023,5,28,0,0,29XX W 4TH AVE,Kitsilano,487471.1143,5457315.783
Break and Enter Commercial,2023,12,20,2,0,29XX W 4TH AVE,Kitsilano,487471.1143,5457315.783
Break and Enter Commercial,2023,1,27,12,0,29XX W 4TH AVE,Kitsilano,487512.6311,5457305.945
Break and Enter Commercial,2023,1,8,14,4,29XX W 4TH AVE,Kitsilano,487522.1012,5457305.787
Break and Enter Commercial,2023,2,15,6,38,29XX W 4TH AVE,Kitsilano,487528.3058,5457305.681
Break and Enter Commercial,2023,12,14,21,0,29XX W 4TH AVE,Kitsilano,487528.3058,5457305.681
Break and Enter Commercial,2023,2,6,8,43,29XX W BROADWAY AVE,Kitsilano,487543.6732,5456827.617
Break and Enter Commercial,2023,2,21,2,22,29XX W BROADWAY AVE,Kitsilano,487566.9746,5456826.546
Break and Enter Commercial,2023,6,8,22,0,2X NANAIMO ST,Grandview-Woodland,495884.5008,5459087.552
Break and Enter Commercial,2023,2,9,3,1,30XX W BROADWAY AVE,Kitsilano,487450.5722,5456830.319
Break and Enter Commercial,2023,2,16,3,32,30XX W BROADWAY AVE,Kitsilano,487450.5722,5456830.319
Break and Enter Commercial,2023,3,12,4,40,31XX MACDONALD ST,Kitsilano,487755.034,5456162.983
Break and Enter Commercial,2023,9,3,16,9,31XX W 4TH AVE,Kitsilano,487283.3555,5457309.568
Break and Enter Commercial,2023,1,15,19,0,32XX W 4TH AVE,Kitsilano,487088.2007,5457314.704
Break and Enter Commercial,2023,10,10,10,20,32XX W 4TH AVE,Kitsilano,487096.6208,5457323.573
Break and Enter Commercial,2023,12,11,18,0,32XX W 4TH AVE,Kitsilano,487096.6208,5457323.573
Break and Enter Commercial,2023,1,3,22,28,32XX W 4TH AVE,Kitsilano,487115.2577,5457313.806
Break and Enter Commercial,2023,6,22,23,0,32XX W 4TH AVE,Kitsilano,487115.2577,5457313.806
Break and Enter Commercial,2023,3,11,6,5,32XX W BROADWAY AVE,Kitsilano,487129.2329,5456839.101
Break and Enter Commercial,2023,6,10,4,0,33XX E 4TH AVE,Hastings-Sunrise,497676.2174,5457101.597
Break and Enter Commercial,2023,12,25,5,8,33XX E BROADWAY AVE,Hastings-Sunrise,497557.6157,5456575.214
Break and Enter Commercial,2023,3,18,19,1,34XX BRIDGEWAY,Hastings-Sunrise,497817.7421,5459648.068
Break and Enter Commercial,2023,4,2,6,15,34XX E HASTINGS ST,Hastings-Sunrise,497775.6526,5458710.001
Break and Enter Commercial,2023,1,26,0,0,34XX E HASTINGS ST,Hastings-Sunrise,497779.0396,5458714.64
Break and Enter Commercial,2023,11,30,22,0,34XX W BROADWAY AVE,Kitsilano,486830.0268,5456847.485
Break and Enter Commercial,2023,9,28,14,6,35XX GRAVELEY ST,Hastings-Sunrise,498070.0272,5457512.087
Break and Enter Commercial,2023,4,17,21,0,35XX LOUGHEED HWY,Hastings-Sunrise,497982.9488,5456805.846
Break and Enter Commercial,2023,8,28,17,0,35XX LOUGHEED HWY,Hastings-Sunrise,497982.9488,5456805.846
Break and Enter Commercial,2023,1,30,4,0,35XX W 41ST AVE,Dunbar-Southlands,486741.241,5453565.286
Break and Enter Commercial,2023,3,22,5,42,35XX W 4TH AVE,Kitsilano,486676.7791,5457333.863
Break and Enter Commercial,2023,9,29,9,31,36XX E HASTINGS ST,Hastings-Sunrise,498154.7633,5458713.886
Break and Enter Commercial,2023,3,14,3,39,36XX E HASTINGS ST,Hastings-Sunrise,498192.8067,5458704.846
Break and Enter Commercial,2023,9,26,10,19,36XX E HASTINGS ST,Hastings-Sunrise,498254.1992,5458714.163
Break and Enter Commercial,2023,9,29,4,7,36XX E HASTINGS ST,Hastings-Sunrise,498254.1992,5458714.163
Break and Enter Commercial,2023,8,7,8,2,36XX E HASTINGS ST,Hastings-Sunrise,498257.1239,5458714.171
Break and Enter Commercial,2023,11,13,6,22,36XX W 10TH AVE,Kitsilano,486522.8212,5456757.288
Break and Enter Commercial,2023,1,16,9,24,36XX W 16TH AVE,Kitsilano,486543.1802,5456158.751
Break and Enter Commercial,2023,5,18,4,55,36XX W 27TH AVE,Dunbar-Southlands,486515.4968,5455054.753
Break and Enter Commercial,2023,10,6,13,32,36XX W 4TH AVE,Kitsilano,486618.995,5457325.893
Break and Enter Commercial,2023,6,10,1,45,36XX W BROADWAY AVE,Kitsilano,486519.1306,5456865.252
Break and Enter Commercial,2023,6,12,2,39,36XX W BROADWAY AVE,Kitsilano,486519.1306,5456865.252
Break and Enter Commercial,2023,3,22,2,36,36XX W BROADWAY AVE,Kitsilano,486568.8149,5456863.9
Break and Enter Commercial,2023,6,4,5,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.951
Break and Enter Commercial,2023,3,12,17,0,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.349
Break and Enter Commercial,2023,5,31,2,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.591
Break and Enter Commercial,2023,6,29,8,49,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.591
Break and Enter Commercial,2023,1,13,13,38,37XX W 8TH AVE,West Point Grey,486376.789,5456965.497
Break and Enter Commercial,2023,4,17,0,0,3X N TEMPLETON DR,Grandview-Woodland,495653.1619,5459153.444
Break and Enter Commercial,2023,9,29,3,10,3XX KOOTENAY ST,Hastings-Sunrise,498134.318,5458717.709
Break and Enter Commercial,2023,2,13,3,20,3XX SLOCAN ST,Hastings-Sunrise,496416.4008,5458724.213
Break and Enter Commercial,2023,5,26,3,0,43XX DUNBAR ST,Dunbar-Southlands,486513.9582,5455025.591
