TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,9,5,6,14,10XX COMMERCIAL DR,Grandview-Woodland,49.27555164884652,-123.06947273833178
Break and Enter Commercial,2023,1,26,4,37,10XX COMMERCIAL DR,Grandview-Woodland,49.275734486559735,-123.06947013416287
Break and Enter Commercial,2023,12,29,0,0,10XX SEMLIN DR,Grandview-Woodland,49.27507312742433,-123.06377050496059
Break and Enter Commercial,2023,2,10,19,2,11XX COMMERCIAL DR,Grandview-Woodland,49.27445219883689,-123.0696143964751
Break and Enter Commercial,2023,1,25,3,45,11XX COMMERCIAL DR,Grandview-Woodland,49.27439889658544,-123.06948947797055
Break and Enter Commercial,2023,1,27,0,48,11XX COMMERCIAL DR,Grandview-Woodland,49.27453888095199,-123.06948738975103
Break and Enter Commercial,2023,2,13,1,31,11XX COMMERCIAL DR,Grandview-Woodland,49.27453888095199,-123.06948738975103
Break and Enter Commercial,2023,12,22,1,30,12XX ODLUM DR,Grandview-Woodland,49.273187063781215,-123.07586914143212
Break and Enter Commercial,2023,11,8,7,0,13XX COMMERCIAL DR,Grandview-Woodland,49.272828823924755,-123.06965115406639
Break and Enter Commercial,2023,6,2,18,46,13XX E 1ST AVE,Grandview-Woodland,49.269682374032215,-123.07633469082081
Break and Enter Commercial,2023,12,10,2,47,13XX E 2ND AVE,Grandview-Woodland,49.26878678011125,-123.07642422414851
Break and Enter Commercial,2023,6,6,0,22,13XX E 7TH AVE,Grandview-Woodland,49.26427430694964,-123.07738963540221
Break and Enter Commercial,2023,7,4,12,21,13XX E 7TH AVE,Grandview-Woodland,49.26427430694964,-123.07738963540221
Break and Enter Commercial,2023,12,24,23,44,13XX E 7TH AVE,Grandview-Woodland,49.26427430694964,-123.07738963540221
Break and Enter Commercial,2023,8,23,2,57,13XX E 8TH AVE,Grandview-Woodland,49.263277657249645,-123.07621081257437
Break and Enter Commercial,2023,8,23,3,0,13XX E 8TH AVE,Grandview-Woodland,49.263277657249645,-123.07621081257437
Break and Enter Commercial,2023,6,3,0,0,13XX E PENDER ST,Grandview-Woodland,49.28039629457932,-123.07689666123721
Break and Enter Commercial,2023,7,24,4,30,13XX GRAVELEY ST,Grandview-Woodland,49.270599044689604,-123.07658337143431
Break and Enter Commercial,2023,3,27,21,40,13XX PARKER ST,Grandview-Woodland,49.27588486212028,-123.07650034612458
Break and Enter Commercial,2023,2,5,3,44,13XX VENABLES ST,Grandview-Woodland,49.27678857533699,-123.07616907246819
Break and Enter Commercial,2023,1,29,16,0,14XX CLARK DR,Grandview-Woodland,49.27162701438997,-123.07727387499803
